,Polygon,Overpass
48,"['-56.54951279145696,55.82408807979743', '-58.78217599149582,56.19583050821956', '-60.4024010955398,52.71774426501933', '-61.82806471800407,49.22444538627511', '-63.10597330181151,45.71890215944438', '-63.69369848659522,43.98250745203406', '-61.94769038307444,43.66580877217224', '-60.22122851125432,43.32291861004048', '-59.53199818881511,45.04711853048082', '-58.02039797432392,48.52357991502625', '-56.3161862277499,51.9805321664481', '-54.36198456873741,55.41283288660275', '-56.54951279145696,55.82408807979743']",2020-03-26
49,"['-68.37145206611137,21.4270419131995', '-69.72956594579638,21.71099453298246', '-70.55067955137425,18.15766405728875', '-71.35462719022286,14.6018682402823', '-72.1464472222698,11.04428138770087', '-72.93070408123008,7.485574161712616', '-73.71165217664145,3.926419198592227', '-74.49337637554622,0.3674951007616633', '-75.27991927900152,-3.190510380563861', '-76.0754038392742,-6.74689724187373', '-76.88415921880169,-10.30094948920653', '-77.71085735608213,-13.85192974821086', '-78.07805056897676,-15.39835145380368', '-76.7614168743865,-15.68953225841395', '-75.44090869374526,-15.97284812381136', '-75.09365387488656,-14.4245518256801', '-74.3045749587792,-10.87003622721053', '-73.52263673911541,-7.313428069658708', '-72.74362514314497,-3.755388117421069', '-71.96347804694851,-0.196588444858925', '-71.17816280088388,3.362284410321959', '-70.38355397479658,6.920526373409997', '-69.57530700783937,10.47741210278372', '-68.74871957688035,14.0321898348631', '-67.89857127716863,17.58407390678633', '-67.01892986838503,21.13223383932284', '-68.37145206611137,21.4270419131995']",2020-03-26
50,"['-81.05811847477003,-32.65920587435018', '-82.5663177225707,-32.34344207972589', '-83.15619587753439,-34.26827342950083', '-81.61396600589005,-34.58843747435929', '-80.05980442304674,-34.88912311721514', '-79.53919040077339,-32.95687330642321', '-81.05811847477003,-32.65920587435018']",2020-03-26
51,"['-17.07828018917514,81.19442297348408', '-19.56460476799596,82.45351480317581', '-41.48768216568757,80.76871982607359', '-55.51043489843291,78.23003158101631', '-64.41784958879927,75.27192424466935', '-70.41727715242907,72.10035473497891', '-74.72188192339917,68.81009825399123', '-77.98253250863463,65.44794081279521', '-80.5644863015682,62.03892698435117', '-82.68436504518192,58.59745818153938', '-84.4774459936732,55.13233252550579', '-86.03208358995515,51.64920736730129', '-87.40825884607283,48.1518896140449', '-88.6481183656196,44.64305534986332', '-89.78215464315994,41.1246648818699', '-90.83301918788024,37.59821632951617', '-91.81794945608186,34.06490523082327', '-92.75036235471912,30.5257279150662', '-93.64093051084204,26.98154998055494', '-94.49832855230692,23.43315240987864', '-95.32976383042117,19.88126294785113', '-96.14137033549685,16.32657796478875', '-96.41215183679702,15.12464129965811', '-95.10437572122743,14.84322009138118', '-93.80019522728345,14.55446083375199', '-93.51453900368526,15.75514921122691', '-92.65088052147475,19.30533420115625', '-91.75452951862543,22.85137174925134', '-90.8180274263364,26.39233372544583', '-89.83246352029437,29.92719428705365', '-88.78699463205727,33.45479117506228', '-87.6681904542822,36.97377025350075', '-86.4591191444577,40.48250543199147', '-85.13804274880913,43.9789816025322', '-83.67651420690133,47.46062056535521', '-82.03653525239248,50.92401654795449', '-80.16620335060046,54.3645238217436', '-77.99287803045233,57.77559593040643', '-75.41207211577213,61.14768001908266', '-72.26903712090063,64.46631089535174', '-68.32749230281901,67.70868014255942', '-63.21625098582826,70.83719303728836', '-56.34269391349351,73.78701494502512', '-46.78409287903671,76.44222744530896', '-33.31584346969184,78.59630192517831', '-15.2128454932508,79.92347693231018', '-17.07828018917514,81.19442297348408']",2020-03-26
52,"['-42.03489731455144,81.20297523100899', '-44.48891385110181,82.4634513625499', '-66.49351984834674,80.78985881369178', '-80.57965990212166,78.25682255221105', '-89.52369158594631,75.30149892905264', '-95.544008106851,72.13141411534893', '-99.86114260991154,68.84202393304325', '-103.1297448474941,65.48041335049388', '-105.7170031239568,62.07176828139848', '-107.8405962210094,58.63056471517807', '-109.6363495400265,55.16563665998878', '-111.1929471931382,51.68266312356689', '-112.5706057254651,48.18546686195194', '-113.8116082996542,44.67673246172016', '-114.9465380388513,41.15842566638489', '-115.9981083017276,37.63204813176241', '-116.983599764776,34.09879771732291', '-117.91646013611,30.55967227721307', '-118.5538456748854,28.03961115800051', '-117.1250818770235,27.75098901192581', '-115.7043459351478,27.44782694652582', '-114.9975698797982,29.96103925467965', '-113.951467262641,33.48856034273138', '-112.8318857888026,37.00744951583585', '-111.6218545422277,40.5160775987162', '-110.2995815260404,44.01242504380485', '-108.8365435592682,47.4939071775959', '-107.1946328944601,50.95710862693233', '-105.32178578222,54.39736912042075', '-103.1451029981918,57.80811763296962', '-100.5597276636693,61.17976584012613', '-97.41032706312249,64.49779136962255', '-93.45960893005798,67.73927911283511', '-88.33473488608314,70.86644554071022', '-81.44043140141564,73.81410330495164', '-71.85043140168529,76.46567656566434', '-58.33904107089816,78.61355285479287', '-40.19475076304087,79.93097982716418', '-42.03489731455144,81.20297523100899']",2020-03-26
53,"['-129.0080272113476,-23.59421092857687', '-130.3927983030999,-23.29416364961469', '-130.9731165354478,-25.48977252493193', '-129.5633460064293,-25.79299344668362', '-128.1462410271292,-26.08261005052271', '-127.6167932176065,-23.88197652654337', '-129.0080272113476,-23.59421092857687']",2020-03-26
54,"['-66.23786807408914,81.23935160114493', '-68.5459294723361,82.50575496053131', '-90.91026270134455,80.88256744966439', '-105.2808103788271,78.37506321718333', '-114.3896422371423,75.43230964304469', '-120.5039078985673,72.26891457971061', '-124.877321510884,68.98341952489433', '-128.1815946741712,65.6242630386223', '-130.7926228859085,62.21726982604667', '-132.9327064969204,58.77723895667169', '-134.7403037797368,55.31318398393324', '-135.94712621739,52.67109318769797', '-133.8887641976983,52.32029572996252', '-131.864973891163,51.93442395468725', '-130.4109731268607,54.54287141741192', '-128.2193600962205,57.95218317390763', '-125.6136443432873,61.32189520085661', '-122.4357590078026,64.63721164127755', '-118.4439600316805,67.87474898442726', '-113.2579921208651,70.99587301139205', '-106.270689488583,73.93380650058282', '-96.5400914172136,76.56901397579355', '-82.83654547614333,78.68905051744268', '-64.51138715482739,79.96287472364766', '-66.23786807408914,81.23935160114493']",2020-03-26
55,"['-150.7509529805909,-8.944507957608584', '-152.032848778985,-8.658417361453838', '-152.7750346339409,-11.88599067911479', '-151.4789854228885,-12.17427450999799', '-150.1800242753651,-12.45652885764544', '-149.4669647580895,-9.226206853003285', '-150.7509529805909,-8.944507957608584']",2020-03-26
56,"['-152.3011674852464,-15.75532963174646', '-153.6182422281616,-15.46408893166614', '-153.9832903187165,-16.97995888405691', '-152.6555261212257,-17.27263642317745', '-151.3234228317847,-17.55660009769771', '-150.9801993709332,-16.03867038011794', '-152.3011674852464,-15.75532963174646']",2020-03-26
57,"['-153.6195677545059,-21.30716280186464', '-154.981273055076,-21.01006167045998', '-155.3676835535906,-22.52257111035177', '-153.9910314047148,-22.82158441887278', '-152.6082038633712,-23.1087697879374', '-152.2522255638328,-21.5933099274844', '-153.6195677545059,-21.30716280186464']",2020-03-26
58,"['-91.39084617884407,81.24013742915571', '-93.69558875983124,82.50666953912682', '-116.0679425490742,80.88462473879703', '-130.4449339600214,78.37770298626367', '-133.5215343445951,77.55194748276988', '-128.9356834045582,76.73434514329448', '-124.8958371587126,75.84463518350619', '-121.7039777122426,76.57131809123037', '-107.9961059727173,78.69072291380448', '-89.66693936650574,79.96356341674314', '-91.39084617884407,81.24013742915571']",2020-03-26
59,"['-142.8393118301069,71.1414334376897', '-146.5040801220721,71.72885403576503', '-150.6634777929006,68.42856625191902', '-153.8316708496475,65.06004909563835', '-156.3517741862187,61.6467316161889', '-158.4285397158645,58.2021869582786', '-160.1905221309482,54.73475831617052', '-160.4780179268383,54.11571614914145', '-158.3523385096212,53.75697454332392', '-156.2651065403277,53.36140916994942', '-155.9183797339246,53.97234308353679', '-153.7842817274596,57.38719730825741', '-151.2567539975915,60.76435767203806', '-148.1880815398925,64.09005757886835', '-144.3534948796664,67.34269345007556', '-139.4009186933579,70.4868412711751', '-142.8393118301069,71.1414334376897']",2020-03-26
60,"['-176.6524645875622,-12.16834895062031', '-177.9484836299477,-11.88006954783523', '-178.7847825657462,-15.42944042852279', '-179.6467071210982,-18.97462176417155', '-180.1178887574571,-20.85902236030028', '-178.7576024414315,-21.1559409659275', '-177.3917312968862,-21.44199166907919', '-176.9546893523236,-19.5543172290866', '-176.1472146181271,-16.00397718103682', '-175.3535351626055,-12.45060191471738', '-176.6524645875622,-12.16834895062031']",2020-03-26
